date,app_name,count,is_anomaly,anomaly_score
2025-04-06,Bolt,3,False,0.050903557142811195
2025-04-06,HungerStation,1,False,0.0
2025-04-06,Jahez,1,False,0.0
2025-04-06,Jeeny,3,False,0.050903557142811195
2025-04-06,Kayan,1,False,0.0
2025-04-06,Keeta,1,False,0.0
2025-04-06,Khamsat,1,False,0.0
2025-04-06,Mostaql,2,False,0.04899152606863444
2025-04-06,Mrsool,2,False,0.04899152606863444
2025-04-06,Sary,4,False,0.04241713439480882
2025-04-06,TheChefs,1,False,0.0
2025-04-06,ToYou,1,False,0.0
2025-04-06,Wasselni,2,False,0.04899152606863444
2025-04-13,Bolt,1,False,0.0
2025-04-13,Careem,2,False,0.04899152606863444
2025-04-13,HungerStation,6,True,-0.035012579097354224
2025-04-13,Jahez,4,False,0.04241713439480882
2025-04-13,Jeeny,6,True,-0.035012579097354224
2025-04-13,Kayan,1,False,0.0
2025-04-13,Keeta,1,False,0.0
2025-04-13,Khamsat,4,False,0.04241713439480882
2025-04-13,Mostaql,4,False,0.04241713439480882
2025-04-13,Mrsool,1,False,0.0
2025-04-13,Sary,2,False,0.04899152606863444
2025-04-13,TheChefs,5,False,0.0030138925274549866
2025-04-13,ToYou,4,False,0.04241713439480882
2025-04-13,Uber,4,False,0.04241713439480882
2025-04-13,Wasselni,4,False,0.04241713439480882
2025-04-20,Bolt,5,False,0.0030138925274549866
2025-04-20,Careem,2,False,0.04899152606863444
2025-04-20,HungerStation,6,True,-0.035012579097354224
2025-04-20,Jahez,4,False,0.04241713439480882
2025-04-20,Jeeny,2,False,0.04899152606863444
2025-04-20,Kayan,4,False,0.04241713439480882
2025-04-20,Keeta,3,False,0.050903557142811195
2025-04-20,Khamsat,3,False,0.050903557142811195
2025-04-20,Mostaql,1,False,0.0
2025-04-20,Mrsool,2,False,0.04899152606863444
2025-04-20,Sary,4,False,0.04241713439480882
2025-04-20,TheChefs,2,False,0.04899152606863444
2025-04-20,ToYou,6,True,-0.035012579097354224
2025-04-20,Uber,2,False,0.04899152606863444
2025-04-20,Wasselni,3,False,0.050903557142811195
2025-04-27,Bolt,4,False,0.04241713439480882
2025-04-27,Careem,4,False,0.04241713439480882
2025-04-27,HungerStation,6,True,-0.035012579097354224
2025-04-27,Jahez,1,False,0.0
2025-04-27,Jeeny,4,False,0.04241713439480882
2025-04-27,Kayan,3,False,0.050903557142811195
2025-04-27,Keeta,4,False,0.04241713439480882
2025-04-27,Khamsat,5,False,0.0030138925274549866
2025-04-27,Mostaql,3,False,0.050903557142811195
2025-04-27,Mrsool,2,False,0.04899152606863444
2025-04-27,Sary,2,False,0.04899152606863444
2025-04-27,TheChefs,6,True,-0.035012579097354224
2025-04-27,ToYou,5,False,0.0030138925274549866
2025-04-27,Uber,3,False,0.050903557142811195
2025-04-27,Wasselni,1,False,0.0
2025-05-04,Bolt,8,True,-0.19060692498473042
2025-05-04,Careem,4,False,0.04241713439480882
2025-05-04,HungerStation,10,True,-0.2808712999891445
2025-05-04,Jahez,1,False,0.0
2025-05-04,Jeeny,3,False,0.050903557142811195
2025-05-04,Kayan,3,False,0.050903557142811195
2025-05-04,Keeta,6,True,-0.035012579097354224
2025-05-04,Khamsat,5,False,0.0030138925274549866
2025-05-04,Mrsool,1,False,0.0
2025-05-04,Sary,5,False,0.0030138925274549866
2025-05-04,TheChefs,2,False,0.04899152606863444
2025-05-04,ToYou,1,False,0.0
2025-05-04,Uber,3,False,0.050903557142811195
