app_name,platform,sector,text,rating,date,city,version
Uber,google_play,نقل,جيده,5,2026-04-02,,4.622.10002
Uber,google_play,نقل,شيء رائع ..ان اقضي مشواري العملي قد أنجز بفضل الله ثم بفضل تطبيق اوبر الذي يخدمني بشكل أفضل,4,2026-04-02,,4.622.10002
Uber,google_play,نقل,خدمه جيده ومتوفره شكرا لكم وكباتن علي قد المسؤوليه بارك الله فيكم,5,2026-04-02,,4.624.10005
Uber,google_play,نقل,ممتازه جداً,5,2026-04-02,,4.622.10002
Uber,google_play,نقل,جيده ومناسبه,4,2026-04-02,,
Uber,google_play,نقل,حلوه جدان,5,2026-04-02,,4.622.10002
Uber,google_play,نقل,سائق ممتاز جدا,5,2026-04-02,,4.624.10005
Uber,google_play,نقل,ممتاز,5,2026-04-02,,
Uber,google_play,نقل,محترمة,5,2026-04-02,,4.622.10002
Uber,google_play,نقل,رائعة,5,2026-04-02,,4.622.10002
Uber,google_play,نقل,تجربه رائعه,5,2026-04-02,,4.622.10002
Uber,google_play,نقل,اكثر من رائع,5,2026-04-02,,4.622.10002
Uber,google_play,نقل,حذف الصورة الشخصية,5,2026-04-02,,4.624.10005
Uber,google_play,نقل,ممتاز جدا جدا جدا,5,2026-04-02,,
Uber,google_play,نقل,جيد,5,2026-04-02,,
Uber,google_play,نقل,تطبيق ممتاز,5,2026-04-02,,4.622.10002
Uber,google_play,نقل,ممتاز,5,2026-04-02,,4.622.10002
Uber,google_play,نقل,ممتاز.. شكراً,5,2026-04-02,,4.624.10005
Uber,google_play,نقل,ممتاز وخدمة عالوقت شكرا كتير,5,2026-04-02,,
Uber,google_play,نقل,ممتاز,5,2026-04-02,,4.624.10005
Uber,google_play,نقل,شكرا لكم,5,2026-04-02,,4.624.10005
Uber,google_play,نقل,جيد,5,2026-04-02,,4.622.10002
Uber,google_play,نقل,ممتاز,5,2026-04-02,,4.619.10001
Uber,google_play,نقل,جزاك الله خير الجزاء,5,2026-04-02,,4.624.10005
Uber,google_play,نقل,خدمة ممتازة جدا، ولكن ملاحظة في تأخير قبول الطلب,5,2026-04-02,,4.624.10005
Uber,google_play,نقل,ممتازه,5,2026-04-02,,
Uber,google_play,نقل,ممتاز,5,2026-04-02,,4.622.10002
Uber,google_play,نقل,ان,5,2026-04-02,,
Uber,google_play,نقل,👍,5,2026-04-02,,4.624.10005
Uber,google_play,نقل,ممتاز,5,2026-04-02,,4.624.10005
Uber,google_play,نقل,ممتاز,5,2026-04-02,,4.619.10001
Uber,google_play,نقل,شخص محترم,5,2026-04-02,,4.624.10005
Uber,google_play,نقل,ممتاز,5,2026-04-02,,4.624.10005
Uber,google_play,نقل,ممتاز,5,2026-04-01,,
Uber,google_play,نقل,جيد جدا,5,2026-04-01,,4.624.10005
Uber,google_play,نقل,ممتاز,5,2026-04-01,,4.622.10002
Uber,google_play,نقل,ممتاز,5,2026-04-01,,
Uber,google_play,نقل,مش راضي يشتغل,1,2026-04-01,,4.624.10005
Uber,google_play,نقل,ممتاز,5,2026-04-01,,4.624.10005
Uber,google_play,نقل,رائع,5,2026-04-01,,4.622.10002
Uber,google_play,نقل,هو برنامج حلو بس المشكله ان لو المشاوير قريبه محدش بيقبلها وكمان ساعات بيقول لا يوجد مشاوير,5,2026-04-01,,4.621.10004
Uber,google_play,نقل,ابلكيشن ممتاز,5,2026-04-01,,4.590.10001
Uber,google_play,نقل,كابتن محترم,5,2026-04-01,,4.621.10004
Uber,google_play,نقل,خدمه جميله,5,2026-04-01,,4.622.10002
Uber,google_play,نقل,شكرا اوبر,5,2026-04-01,,4.624.10005
Uber,google_play,نقل,كويس جدا,5,2026-04-01,,4.622.10002
Uber,google_play,نقل,كابتن ذوق جدا شكرا ليك جدا,5,2026-04-01,,4.623.10005
Uber,google_play,نقل,رائعه,5,2026-04-01,,
Uber,google_play,نقل,ممتاز,5,2026-04-01,,4.622.10002
Uber,google_play,نقل,تطبيق جميل,5,2026-04-01,,4.621.10004
Uber,google_play,نقل,جامد والله,5,2026-04-01,,
Uber,google_play,نقل,ممتاز,5,2026-04-01,,4.624.10005
Uber,google_play,نقل,التعامل راقي و العربية بتوصلك مشوارك بسرعة,5,2026-04-01,,4.624.10005
Uber,google_play,نقل,مقبوله,1,2026-04-01,,4.624.10005
Uber,google_play,نقل,ممتاز,5,2026-04-01,,4.624.10005
Uber,google_play,نقل,تماغ,5,2026-04-01,,4.623.10005
Uber,google_play,نقل,الاسعار جميلة والناس محترمة,5,2026-04-01,,4.624.10005
Uber,google_play,نقل,السائق المره ديه محترم جدا جدا,5,2026-04-01,,4.620.10002
Uber,google_play,نقل,جزاكم الله خيرا,5,2026-04-01,,4.624.10005
Uber,google_play,نقل,جميل,5,2026-04-01,,4.624.10005
Uber,google_play,نقل,حلو,5,2026-04-01,,4.623.10005
Uber,google_play,نقل,جميل جداً,5,2026-04-01,,4.622.10002
Uber,google_play,نقل,مقاطعه داعم لي الصهاينة,1,2026-04-01,,4.624.10005
Uber,google_play,نقل,سواقين نصابين ياخذو زياده وفي سواق طلع قيمه مشوار ونا محاسبه وسواق ماوصلني للموقع الله المستعان عليكم بس,1,2026-04-01,,4.623.10005
Uber,google_play,نقل,جيد,5,2026-04-01,,4.622.10002
Uber,google_play,نقل,امتياز,5,2026-04-01,,4.624.10005
Uber,google_play,نقل,خلوق,5,2026-04-01,,4.622.10002
Uber,google_play,نقل,انا في ابور وتعطلت السياره والان انا متضرر من اوبر ممكن يجعلني اي شي< شكرا يآرب آمين >,5,2026-04-01,,
Uber,google_play,نقل,تطبيق سيء السائق لا يعرف الى اين هو ذاهب و يضع سعر ثابت قد لا يكون مناسب مع السائق,1,2026-04-01,,4.624.10005
Uber,google_play,نقل,لا انصح به,1,2026-04-01,,4.624.10005
Uber,google_play,نقل,👍👍,5,2026-04-01,,4.622.10002
Uber,google_play,نقل,حلو,5,2026-04-01,,4.622.10002
Uber,google_play,نقل,مرتفع السعر توصيل,1,2026-04-01,,4.624.10005
Uber,google_play,نقل,جيد جدا جدا جدا جدا جدا جدا جدا جدا,5,2026-04-01,,4.624.10005
Uber,google_play,نقل,جيده جدا,5,2026-04-01,,4.622.10002
Uber,google_play,نقل,جيد,4,2026-04-01,,4.623.10005
Uber,google_play,نقل,ممتاز جدا,5,2026-04-01,,
Uber,google_play,نقل,صراحة تطبيق ممتاز في كل شيء الي الآن,5,2026-04-01,,4.622.10002
Uber,google_play,نقل,برنامج محترم,5,2026-04-01,,4.622.10002
Uber,google_play,نقل,ممتازة,5,2026-04-01,,4.622.10002
Uber,google_play,نقل,جميل,5,2026-04-01,,4.624.10005
Uber,google_play,نقل,التطبيق مفيد جدا,5,2026-04-01,,4.622.10002
Uber,google_play,نقل,تم,5,2026-03-31,,4.622.10002
Uber,google_play,نقل,تمام,5,2026-03-31,,4.620.10002
Uber,google_play,نقل,جميله,5,2026-03-31,,4.622.10002
Uber,google_play,نقل,👍,5,2026-03-31,,4.622.10002
Uber,google_play,نقل,ممتاز,5,2026-03-31,,4.622.10002
Uber,google_play,نقل,جنيلة ومريحة,5,2026-03-31,,
Uber,google_play,نقل,ممتاز,5,2026-03-31,,4.622.10002
Uber,google_play,نقل,ممتاز,5,2026-03-31,,4.554.10001
Uber,google_play,نقل,انا نفسي يوسع لي ثابت يجي لي مش بعد ما اوصل الي على ايه غالي,2,2026-03-31,,4.623.10005
Uber,google_play,نقل,هايل,5,2026-03-31,,4.617.10003
Uber,google_play,نقل,حلو وسهل,5,2026-03-31,,4.622.10002
Uber,google_play,نقل,غير ممتاز لان هناك سائق الغى الرحله لكونى لست فى منطقته وهذا امر لابد ان يحاسب عليه,2,2026-03-31,,4.624.10005
Uber,google_play,نقل,انصح به,5,2026-03-31,,4.620.10002
Uber,google_play,نقل,تجربة ممتعة,4,2026-03-31,,
Uber,google_play,نقل,جميل جدا,5,2026-03-31,,4.622.10002
Uber,google_play,نقل,جمد,5,2026-03-31,,4.621.10004
Uber,google_play,نقل,جيده جدآ,5,2026-03-31,,4.622.10002
Uber,google_play,نقل,افضل برنامج في العالم في التوصيل,5,2026-03-31,,4.622.10002
Uber,google_play,نقل,أسعار مبالغ فيها كأنك في المواسم,1,2026-03-31,,4.622.10002
Uber,google_play,نقل,رائع,5,2026-03-31,,4.607.10001
Uber,google_play,نقل,خدمه محترما,5,2026-03-31,,4.622.10002
